"Timestamp","What would you do if..."
"2020/12/24 11:17:38 PM CST","Your nose fell off"
"2020/12/24 11:18:39 PM CST","Your hair started on fire"
"2020/12/24 11:19:34 PM CST","You could live for 200 years "
"2020/12/24 11:20:02 PM CST","You turned into a monkey"
"2020/12/24 11:20:58 PM CST","You saw a ufo "
"2020/12/24 11:32:51 PM CST","You could clone yourself "
"2020/12/24 11:33:34 PM CST","You never had to clean"
"2020/12/24 11:34:20 PM CST","You never needed to sleep"
"2020/12/24 11:35:04 PM CST","Santa Claus was real"
"2020/12/24 11:35:42 PM CST","Bubu only spoke Japanese "
"2020/12/24 11:36:37 PM CST","Little grama got a tattoo "
"2020/12/24 11:37:04 PM CST","Amanda never laughed again"
"2020/12/24 11:37:36 PM CST","Aldrin only ate cake every day "
"2020/12/24 11:39:21 PM CST","You could read peoples minds"
"2020/12/24 11:41:47 PM CST","You became a Jedi Knight "
"2020/12/24 11:42:07 PM CST","Dinosaurs were real"
"2020/12/24 11:45:28 PM CST","The world ran out of underwear "
"2020/12/24 11:46:03 PM CST","The president came to your house "
"2020/12/25 8:28:16 AM CST","the world was actually according to Garp"
"2020/12/25 8:29:23 AM CST","candy canes were made illegal"
"2020/12/25 8:29:44 AM CST","Santa Claus turned out to be an underground rave"
"2020/12/25 8:30:04 AM CST","sheboygan was a national park"
"2020/12/25 8:30:42 AM CST","you had eaten the fish and now we're out of coffee"
"2020/12/25 8:31:01 AM CST","Duran Duran called and wanted their hair cuts back"
"2020/12/25 8:31:42 AM CST","greeting everyone made you an angel"
"2020/12/25 8:35:39 AM CST","you realized Close Encounters of the Third Kind was actually a documentary"
"2020/12/25 8:35:54 AM CST","you realized the moose outside should have told you"
"2020/12/25 8:36:20 AM CST","santa only had one reindeer"
"2020/12/25 8:36:39 AM CST","breaking and entering was not a crime"
"2020/12/25 8:37:04 AM CST","you had the flexibility of a cat"
"2020/12/25 8:37:43 AM CST","the call was coming from inside the house"
"2020/12/25 8:38:01 AM CST","there was a world wide pandemic"
"2020/12/25 8:38:31 AM CST","catnip was made legal"
"2020/12/25 8:38:56 AM CST","you realized that your musical playlists were actually garbage"
"2020/12/25 8:39:45 AM CST","suddenly  horses learned how to talk"
"2020/12/25 8:40:01 AM CST","a fish jumped in your boat"
"2020/12/25 8:40:17 AM CST","an otter escaped an orca"
"2020/12/25 8:40:56 AM CST","you realized your poop doesn't actually smell"
"2020/12/25 8:41:09 AM CST","were weird"
"2020/12/25 8:41:20 AM CST","you grew 7 feet overnight"
"2020/12/25 8:41:44 AM CST","you had the love and support of everyone around you"
"2020/12/25 8:42:09 AM CST","you had to fight 100 horse sized ducks"
"2020/12/25 8:42:23 AM CST","your significant other became a rainbow"
"2020/12/25 8:42:48 AM CST","aliens attack and will only find peace through ponies"
"2020/12/25 8:42:56 AM CST","the world stopped spinning"
